size_mb,memory_type,h2d_ms,h2d_gbps,d2h_ms,d2h_gbps
1024,Pageable,141.73,7.06,145.02,6.90
1024,Pinned,41.53,24.08,41.50,24.10
1024,Managed,0.04,28571.43,5.25,190.55
