num_matrices,threads_per_block,layout,cpu_ms,omp_ms,gpu_ms,gpu_xfer_ms,gpu_total_ms,cpu_gflops,omp_gflops,gpu_gflops,speedup
1000000,64,Separate (Pinned),34.907,4.758,0.559,12.738,13.297,11.0,80.7,686.9,2.63
1000000,64,Combined (Pinned),60.36,3.54,0.65,12.72,13.37,6.4,108.3,593.5,4.52
